id,section,type,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,extra_data
27,Modelos y Metamodelos,Multi-Select,¿Cuál de los siguientes metamodelos representa mejor el hecho de que un metamodelo es un grafo de conceptos conectados por relaciones?,,,,,,,"[""""]",
28,Modelos y Metamodelos,True/False,"Si C1 es la raíz del metamodelo, ¿es sintácticamente correcto el siguiente metamodelo?",True,False,,,,,"[""True""]",
29,Modelos y Metamodelos,True/False,"Si C1 es la raíz del metamodelo, ¿es válido el siguiente metamodelo?",True,False,,,,,"[""False""]",
30,Modelos y Metamodelos,Multi-Select,¿Cuál de los siguientes metamodelos representa mejor el hecho de que una universidad tiene estudiantes de pregrado y de posgrado?,,,,,,,"[""""]",
31,Modelos y Metamodelos,Multiple Choice,¿Cuál es el orden de los pasos para conceptualizar una realidad?,"Descomponer, simplificar, filtrar y conceptualizar la información, delimitar y conceptualizar","Simplificar, filtrar y limpiar la información, conceptualizar, delimitar y descomponer","Delimitar, descomponer, simplificar, filtrar y limpiar la información, y conceptualizar","Conceptualizar, delimitar, descomponer, simplificar, filtrar y limpiar la información.",El orden en el que se hagan los pasos no es relevante,,"[""Delimitar, descomponer, simplificar, filtrar y limpiar la información, y conceptualizar""]",
32,Modelos y Metamodelos,Multiple Choice,¿Cuál de los siguientes artefactos incluye información de una lista de elementos?,Formato,Catálogo,Matriz,Diagrama,Imagen,,"[""Catálogo""]",
33,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes frases describe de mejor manera la relación entre los artefactos y los metamodelos?,Los metamodelos son artefactos que pueden expresar el modelo conceptual de una realidad.,Los artefactos son un tipo de metamodelo y representan cualquier modelo de la realidad.,"Ambos, los metamodelos y los artefactos, son representaciones del modelo conceptual de una realidad.","Los artefactos representan modelos conceptuales de una realidad, mientras que los metamodelos representan otro tipo de modelos.",Los modelos son los artefactos de los metamodelos.,,"[""Los metamodelos son artefactos que pueden expresar el modelo conceptual de una realidad.""]",
34,Modelos y Metamodelos,Multiple Choice,¿Cuál de los siguientes no es un elemento de un metamodelo?,Entidad,Relación,Restricción,Atributo,Componente,,"[""Componente""]",
35,Modelos y Metamodelos,Multi-Select,¿Cuáles de los siguientes son riesgos presentes al crear un modelo?,Obtener información inadecuada o falsa de la realidad.,Realizar un proceso de abstracción incorrecto.,Elaborar artefactos ambiguos.,No comunicarse eficientemente con el área de TI.,Que no corresponda a una de las dimensiones de la arquitectura empresarial,,"[""Obtener información inadecuada o falsa de la realidad."", ""Realizar un proceso de abstracción incorrecto."", ""Elaborar artefactos ambiguos.""]",
36,Modelos y Metamodelos,Multiple Choice,¿Qué es un metamodelo?,Una representación visual de un modelo conceptual utilizando un subconjunto de elementos de un diagrama de clases de UML.,Un conjunto de artefactos que deben respetar el modelo conceptual del dominio.,Una herramienta utilizada para diseñar y validar el modelo TO-BE en el proceso de transformación de una empresa.,Una herramienta utilizada para diseñar y validar el modelo AS-IS en el proceso de análisis de una empresa,Un modelo muy grande,,"[""Una representación visual de un modelo conceptual utilizando un subconjunto de elementos de un diagrama de clases de UML.""]",
37,Modelos y Metamodelos,Multiple Choice,¿En qué orden se aplican los siguientes pasos para construir un metamodelo?A. Aplicar la descomposición de manera recursiva para cada subdominio identificado.B. Identificar un concepto que represente el dominio completo y usarlo como la raíz del metamodeloC. Identificar los subdominios relevantes y conectarlos con la raíz a través de relaciones.,"B, C, A","A, C, B","C, B, A","A, B, C",El orden de los pasos no es relevante,,"[""B, C, A""]",
38,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes afirmaciones es correcta acerca de los atributos en un metamodelo?,Un atributo es una característica de un concepto que se puede representar a través de un tipo simple de dato,"Si un atributo a1 se puede calcular a partir de otro atributo a2, es conveniente mantener a1 y a2 como atributos de la clase","Si un atributo a1 se puede calcular a partir de otro atributo a2, es conveniente dejar únicamente a1 como atributo de la clase","Si un atributo a1 se puede calcular a partir de otro atributo a2, es conveniente eliminarlos ambos como atributos de la clase",Un atributo es una característica de un concepto que no puede ser representada a través de un tipo simple de dato,,"[""Un atributo es una característica de un concepto que se puede representar a través de un tipo simple de dato""]",
39,Modelos y Metamodelos,Multiple Choice,Un modelo de una situación objetivo (TO-BE) se considera:,Un modelo prescriptivo,Un modelo descriptivo,Un metamodelo,Un modelo futurista,Un modelo dinámico,,"[""Un modelo prescriptivo""]",
40,Modelos y Metamodelos,True/False,Es un error incluir una relación de herencia en un metamodelo,True,False,,,,,"[""False""]",
41,Modelos y Metamodelos,Multiple Choice,¿Cuál de los siguientes es un síntoma que puede indicar que un concepto en realidad es un actor en el dominio?,El concepto se relaciona con otros a través de relaciones cuyos nombres son acciones,El concepto tiene más de un atributo,El concepto no tiene relaciones que salen de él,El concepto no tiene ninguna restricción asociada,El concepto tiene muchas relaciones que salen de él,,"[""El concepto se relaciona con otros a través de relaciones cuyos nombres son acciones""]",
42,Modelos y Metamodelos,Multiple Choice,Los lenguajes para expresar un modelo se pueden clasificar en los siguientes grupos:,Lenguajes basados en formatos y lenguajes basados en representaciones gráficas,"Lenguajes basados en formatos, lenguajes basados en procesos y lenguajes basados en imágenes","Lenguajes basados en UML, lenguajes basados en BPMN y lenguajes basados en ArchiMate",Lenguajes formales y lenguajes informales,,,"[""Lenguajes basados en formatos y lenguajes basados en representaciones gráficas""]",
43,Modelos y Metamodelos,Fill in the Blanks,Se define la,,,,,,,"[""efectividad""]",
44,Modelos y Metamodelos,True/False,"Se conoce como ""variable visual"" cualquier elemento incluido en un diagrama que comprometa la efectividad del artefacto",True,False,,,,,"[""False""]",
45,Modelos y Metamodelos,Matching,"Al asociar una representación gráfica con un concepto del metamodelo, se pueden dar tres situaciones distintas, que se denominan de la siguiente manera:",,,,,,,,"{""matching_pairs"": [{""premise"": ""Un arquitecto sin ningún entrenamiento hace inmediatamente la relación entre la representación y el concepto"", ""response"": ""Semántica directa""}, {""premise"": ""Un arquitecto puede aprender a relacionar el concepto con la forma, sin grandes dificultades"", ""response"": ""Semántica aprendida""}, {""premise"": ""El cerebro del arquitecto va a estar confundido y va a rechazar la notación gráfica seleccionada"", ""response"": ""Semántica perversa""}]}"
46,Modelos y Metamodelos,Multiple Choice,"Este formato:

corresponde a cuál de los siguientes metamodelos?",,,,,,,"[""""]",
47,Modelos y Metamodelos,Multiple Choice,"A este metamodelo:

¿cuál de los siguientes formatos se le puede asociar?",,,,,,,"[""""]",
48,Modelos y Metamodelos,Multiple Choice,¿Cuántas son las variables visuales que nos permiten definir las características de una representación gráfica?,6,127,12,"No hay un número definido, porque pueden variar",,,"[""6""]",
49,Modelos y Metamodelos,Multiple Choice,Una vista se especifica de la siguiente manera:,"(1) un punto de vista, (2) un lenguaje para ese punto de vista y (3) un conjunto de reglas que especifican las instancias del modelo que deben quedar en la vista",(1) un modelo conceptual y (2) un conjunto de restricciones sobre los conceptos,"(1) un lenguaje basado en formatos, (2) un lenguaje gráfico y (3) el conjunto de relaciones entre los dos lenguajes","(1) un stakeholder, (2) un punto de vista, (3) un metamodelo y (4) un modelo conceptual",,,"[""(1) un punto de vista, (2) un lenguaje para ese punto de vista y (3) un conjunto de reglas que especifican las instancias del modelo que deben quedar en la vista""]",
50,Modelos y Metamodelos,True/False,¿Un punto de vista se expresa con un metamodelo?,True,False,,,,,"[""True""]",
51,Modelos y Metamodelos,Multiple Choice,¿Cuántos puntos de vista se pueden crear a partir de un metamodelo?,No existe un número fijo,1,Máximo 3,Máximo 5,,,"[""No existe un número fijo""]",
52,El Modelo de Negocio,True/False,¿Una empresa puede implementar a la vez varios negocios?,True,False,,,,,"[""True""]",
53,El Modelo de Negocio,Multi-Select,¿Indique las partes a través de las cuales se expresa un modelo de negocio?,El portafolio de servicios,El modelo ontológico,La estructura del negocio,El modelo financiero,El modelo estratégico,,"[""El portafolio de servicios"", ""El modelo ontológico"", ""La estructura del negocio""]",
54,El Modelo de Negocio,Multi-Select,Indique los modelos que hacen parte del modelo de intención de una arquitectura empresarial,El modelo de negocio,El modelo financiero,El modelo estratégico,El mapa de capacidades,El modelo organizacional,,"[""El modelo de negocio"", ""El modelo financiero"", ""El modelo estratégico""]",
55,El Modelo de Negocio,Fill in the Blanks,Se utiliza el término,,,,,,,"[""actor""]",
56,El Modelo de Negocio,Fill in the Blanks,Se utiliza el término,,,,,,,"[""usuario""]",
57,El Modelo de Negocio,Multi-Select,¿Cuáles de los siguientes elementos se pueden considerar un objeto de negocio (valor)?,Producto físico,Producto digital,Bien físico durable,Resultado,Servicio,,"[""Producto físico"", ""Producto digital"", ""Bien físico durable"", ""Resultado"", ""Servicio""]",
58,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes afirmaciones es falsa?,Un insumo es un elemento de menor valor que se utiliza directamente en la construcción del objeto del negocio,Los insumos pueden ser físicos o digitales,Hay algunos negocios que no tienen insumos,Los insumos llegan al negocio a través de los canales de aprovisionamiento,Los insumos deben corresponder a materia prima y no a productos terminados,,"[""Los insumos deben corresponder a materia prima y no a productos terminados""]",
59,El Modelo de Negocio,Fill in the Blanks,Un canal es,,,,,,,"[""directo"", ""indirecto""]",
60,El Modelo de Negocio,Multi-Select,Indique cuáles de los siguientes son tipos de canales,Relacionamiento,Aprovisionamiento,Distribución,Almacenamiento,Desecho,,"[""Relacionamiento"", ""Aprovisionamiento"", ""Distribución""]",
61,El Modelo de Negocio,Multiple Choice,Por un canal de relacionamiento solo puede fluir:,Información,Valor,Dinero,Insumos,Productos,,"[""Información""]",
62,El Modelo de Negocio,True/False,"Por un canal de aprovisionamiento puede fluir dinero, información y/o valor",True,False,,,,,"[""True""]",
63,El Modelo de Negocio,True/False,Entre dos componentes (de la estructura del negocio) puede haber más de un canal directo de distribución,True,False,,,,,"[""True""]",
64,El Modelo de Negocio,Multiple Choice,"En la ficha técnica de un canal se incluye un conjunto de actividades, cada una de las cuales tiene un conjunto de participantes asociados. Estos participantes son:",Empleados de la empresa,Clientes de la empresa,Recursos de la empresa,Proveedores de la empresa,Productos de la empresa,,"[""Empleados de la empresa""]",
65,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes afirmaciones es FALSA?,"El modelo ontológico es un grafo de conceptos relacionados entre sí, que representa el dominio de conocimiento del negocio",El modelo ontológico es un modelo conceptual,El modelo ontológico se puede representar usando un diagrama de clases de UML,"El modelo ontológico, a diferencia de un metamodelo, puede no tener una raíz",Para todo negocio se puede construir su modelo ontológico,,"[""El modelo ontológico, a diferencia de un metamodelo, puede no tener una raíz""]",
66,El Modelo de Negocio,Multi-Select,Seleccione todas las afirmaciones que son verdaderas,Un escenario de negocio es un diagrama que ilustra la manera como funciona un aspecto importante de un negocio,"El objetivo de un escenario de negocio es contar una historia, mostrando el orden en el que suceden las cosas","Un escenario de negocio es un diagrama dinámico, que utiliza como base la estructura del negocio y en el que se dibuja la línea de tiempo de los sucesos que se quieren ilustrar",Un escenario de negocio se usa para especificar un patrón de modelo de negocio,"Los términos ""modelo de negocio"" y ""escenario de negocio"" son sinónimos",,"[""Un escenario de negocio es un diagrama que ilustra la manera como funciona un aspecto importante de un negocio"", ""El objetivo de un escenario de negocio es contar una historia, mostrando el orden en el que suceden las cosas"", ""Un escenario de negocio es un diagrama dinámico, que utiliza como base la estructura del negocio y en el que se dibuja la línea de tiempo de los sucesos que se quieren ilustrar""]",
67,El Modelo de Negocio,Multiple Choice,¿Esta estructura del negocio corresponde a un negocio de qué tipo?,Manufactura y venta de productos,Comercialización de productos,Alquiler de bienes propios,Marketplace,Financiero,,"[""Manufactura y venta de productos""]",
68,El Modelo de Negocio,Multiple Choice,"En la estructura de un negocio de manufactura, el canal T corresponde a:",Transformación,Transporte,Temporal,Transición,Táctico,,"[""Transformación""]",
69,El Modelo de Negocio,True/False,La operación de una empresa es una implementación del modelo operativo de sus negocios,True,False,,,,,"[""True""]",
70,El Modelo de Negocio,Multi-Select,Señale todas las frases que son verdaderas:,El objeto del negocio describe el valor que entrega el negocio a sus clientes,"El cliente es quien recibe el valor de parte del negocio, e intercambia ese valor por dinero",Dos clientes son de distinto tipo si se relacionan con el negocio a través de servicios diferentes,Todo modelo de negocio tiene clientes y usuarios,Un modelo de negocio solo puede tener un tipo de cliente,,"[""El objeto del negocio describe el valor que entrega el negocio a sus clientes"", ""El cliente es quien recibe el valor de parte del negocio, e intercambia ese valor por dinero"", ""Dos clientes son de distinto tipo si se relacionan con el negocio a través de servicios diferentes""]",
71,El Modelo de Negocio,Multi-Select,Un canal se especifica usando cuáles de los siguientes elementos:,Un nombre,Un tipo,Las actividades que se desarrollan en su interior,Los elementos que almacena,Los servicios de negocio que implementa,,"[""Un nombre"", ""Un tipo"", ""Las actividades que se desarrollan en su interior""]",
72,El Modelo de Negocio,True/False,"¿Los términos ""modelo de negocio"" y ""arquitectura de negocio"" son sinónimos?",True,False,,,,,"[""False""]",
73,El Modelo de Negocio,Multiple Choice,¿Esta estructura del negocio corresponde a un negocio de qué tipo?,Comercialización de productos,Manufactura de productos,Alquiler de bienes propios,Alquiler de bienes de terceros,Desarrollo de soluciones a la medida,,"[""Comercialización de productos""]",
74,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor la estructura de un canal?,,,,,,,"[""""]",
75,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes metamodelos representa mejor un catálogo de participantes?,,No es posible construir un metamodelo de un catálogo de participantes,,,,,"[""""]",
76,El Modelo de Negocio,Multiple Choice,"Las actividades de recibir un pago, hacer una factura, entregar el estado de cuenta, iniciar un cobro jurídico, reportar una persona a centrales de riesgo y consignar un cheque son actividades típicas de un canal de:",Monetización,Pago,Recuperación de activos,Cobro,Relacionamiento,,"[""Monetización""]",
77,El Modelo de Negocio,Multiple Choice,"En la estructura del negocio, un componente es:","Un depósito de valor, información y/o dinero",Un depósito de productos y servicios,Un conjunto de actividades que allí se desarrollan,Un conjunto de empleados de la empresa que desarrollan actividades,Una parte de un proceso de negocio,,"[""Un depósito de valor, información y/o dinero""]",
78,El Modelo de Negocio,Multiple Choice,El siguiente metamodelo representa:,Eso no es un metamodelo,El metamodelo de una empresa editorial,El metamodelo de un negocio de venta de libros,El metamodelo de una empresa de manufactura,El metamodelo de una librería,,"[""Eso no es un metamodelo""]",
79,El Modelo de Negocio,True/False,"Hay negocios que no tienen insumos, porque el valor lo producen de una manera distinta a la transformación de elementos de bajo valor",True,False,,,,,"[""True""]",
80,El Modelo de Negocio,True/False,¿El modelo de competidores hace parte del modelo de negocio de una empresa?,True,False,,,,,"[""False""]",
81,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes afirmaciones es VERDADERA?,Los canales indirectos conectan componentes externos en la estructura del negocio,Los componentes internos solo se pueden conectar con canales indirectos,Los canales indirectos solo pueden conectar actores con usuarios,Los canales indirectos solo pueden conectar proveedores con clientes,Un modelo de negocio debe incluir al menos un canal indirecto para que se considere completo,,"[""Los canales indirectos conectan componentes externos en la estructura del negocio""]",
82,El Modelo de Negocio,True/False,¿Los proveedores de una empresa son un tipo particular de actor dentro del modelo de negocio?,True,False,,,,,"[""False""]",
83,El Modelo de Negocio,Multi-Select,"¿Cuál de los siguientes metamodelos representa mejor la relación que hay entre un componente y un canal, dentro de un modelo de negocio?",,,,,,,"[""""]",
84,El Modelo de Negocio,Multiple Choice,"Cuándo dentro de una actividad de un canal se hace referencia a un participante, se trata de:",Un empleado de la empresa,Un cliente de la empresa,Un proveedor de la empresa,Un usuario de la empresa,Un socio de negocio de la empresa,,"[""Un empleado de la empresa""]",
85,El Modelo de Negocio,Multiple Choice,"¿Cuál de los siguientes metamodelos representa mejor la relación que existe entre canales, actividades, participantes y recursos?",,,,,,,"[""""]",
86,El Modelo de Negocio,Multi-Select,¿Cuáles de las siguientes afirmaciones son VERDADERAS?,"Un componente es un depósito de valor, información y/dinero",Un componente es el responsable de ejecutar un conjunto de actividades sobre los elementos que contiene,Los componentes internos representan los principales procesos que se ejecutan dentro del componente principal,La estructura del negocio debe tener al menos un componente,La estructura del negocio nunca puede tener más de 10 componentes,,"[""Un componente es un depósito de valor, información y/dinero"", ""La estructura del negocio debe tener al menos un componente""]",
87,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes frases es verdadera?,Una empresa puede implementar uno o varios negocios.,Una empresa solo puede implementar un negocio.,Una empresa debe implementar varios negocios.,Cada negocio solo puede ser implementado por una empresa.,Un negocio debe ser implementado por múltiples empresas,,"[""Una empresa puede implementar uno o varios negocios.""]",
88,El Modelo de Negocio,Multiple Choice,¿Cuál de las siguientes afirmaciones es correcta en relación con la construcción de un modelo de negocio?,"Se pueden construir múltiples modelos distintos para un mismo negocio, a diferentes niveles de granularidad y considerando diferentes aspectos",Solo hay una manera correcta de expresar un modelo de negocio,En el modelo de negocio se deben incluir elementos externos como competidores,Es indispensable construir un único modelo para todos los negocios de una misma empresa.,Como parte del modelo de negocio se deben incluir sus aspectos financieros,,"[""Se pueden construir múltiples modelos distintos para un mismo negocio, a diferentes niveles de granularidad y considerando diferentes aspectos""]",
89,El Modelo de Negocio,Multiple Choice,¿Cuál de los siguientes elementos no hace parte de la definición de un modelo de negocio?,Estructura de negocio,Portafolio de servicios,Modelo ontológico,Modelo operativo,Catálogo de actores,,"[""Modelo operativo""]",
90,El Modelo de Negocio,Multiple Choice,Un negocio que ofrece una plataforma WEB en la que los clientes pagan por ver videos con tutoriales tiene un objeto de negocio de tipo:,Plataforma,Información,Producto digital,Resultado,Valor,,"[""Información""]",
91,El Modelo de Negocio,Multiple Choice,¿Cuál es la diferencia entre un prospecto y un cliente potencial?,Los prospectos no reciben ningún valor por parte de la empresa pero se encuentran identificados. Mientras que los clientes potenciales reciben valor del negocio de manera parcial o temporal.,Los clientes potenciales no reciben ningún valor por parte de la empresa pero se encuentran identificados. Mientras que los prospectos reciben valor del negocio de manera parcial o temporal.,"Tanto los prospectos como los clientes potenciales reciben valor del negocio, pero los clientes potenciales además están identificados.","Ni los prospectos ni los clientes potenciales reciben valor del negocio, pero los prospectos están identificados.",No existe ninguna diferencia entre un cliente potencial y un prospecto.,,"[""Los clientes potenciales no reciben ningún valor por parte de la empresa pero se encuentran identificados. Mientras que los prospectos reciben valor del negocio de manera parcial o temporal.""]",
92,El Modelo de Negocio,Multi-Select,¿Cuáles de los siguientes servicios están definidos de manera incorrecta?,Prestar servicios de consultoría especializada,Vender zapatos usando un portal WEB,Diseñar piezas publicitarias,Prestar servicios de catering,Enseñanza para niños,,"[""Vender zapatos usando un portal WEB"", ""Enseñanza para niños""]",
93,El Modelo de Negocio,Multiple Choice,"Un arquitecto de la empresa ABC incluyó en su portafolio de servicios el siguiente: ""Hacer pedidos a proveedores"". ¿Este servicio es correcto?","Sí, es correcto ya que expresa de manera simple la forma en que la empresa genera valor.","No, no es correcto ya que es una acción interna que tiene la empresa para construir el objeto de negocio.","Sí, sí es correcto ya que esto hace parte del flujo de valor que permite crear el objeto de negocio.","No, no es correcto porque no esta redactado desde la óptica de negocio.","No, no es correcto porque está redactado en plural y debe redactarse en singular.",,"[""No, no es correcto ya que es una acción interna que tiene la empresa para construir el objeto de negocio.""]",
94,El Modelo de Negocio,True/False,¿Un mismo objeto de negocio puede pertenecer a más de un tipo?,True,False,,,,,"[""True""]",
95,El Modelo de Negocio,Multiple Choice,"¿Un objeto de negocio con esta descripción
""Se permite al actor usar de manera temporal algún recurso o habilidad del negocio, para satisfacer una necesidad que éste tiene""
pertenece a qué tipo?",Producto digital,Resultado,Servicio,Información,Plataforma,,"[""Servicio""]",
96,El Modelo de Negocio,Multi-Select,¿Cuáles de los siguientes son tipos de actores?,Clientes,Usuarios,Proveedores,Socios,Empleados,,"[""Clientes"", ""Usuarios""]",
97,El Modelo de Negocio,True/False,¿Es posible que una empresa tenga más de un actor de tipo cliente?,True,False,,,,,"[""True""]",
98,El Modelo de Negocio,True/False,¿El modelo ontológico es un modelo de negocio que ayuda a identificar el vocabulario y la estructura de conceptos utilizados en el negocio?,True,False,,,,,"[""False""]",
99,El Modelo de Negocio,True/False,¿El objeto de negocio se refiere a lo que el actor puede hacer con el valor entregado por el negocio?,True,False,,,,,"[""False""]",
100,El Modelo de Negocio,Fill in the Blanks,Un objeto de negocio cuyo derecho de uso y/o su propiedad puede ser transferido a un actor se denomina,,,,,,,"[""bien físico durable""]",
101,El Modelo de Negocio,Fill in the Blanks,El objeto de negocio que consiste en entregar de manera temporal o definitiva un derecho sobre algo a un cliente es de tipo,,,,,,,"[""bien intangible""]",
102,El Modelo de Negocio,Multiple Choice,¿Qué incluye el modelo ontológico de un negocio?,Los canales más importantes del negocio.,"Los clientes, usuarios y prospectos del negocio.",Los conceptos más importantes del negocio,Los servicios que presta el negocio,La forma como entrega valor el negocio,,"[""Los conceptos más importantes del negocio""]",
103,El Modelo de Negocio,Multi-Select,¿Para qué sirven los escenarios de negocio? Seleccione todas las respuestas que sean correctas.,Para mostrar el orden en que suceden las actividades de una estructura del negocio.,Para mostrar cómo funciona un aspecto importante de un negocio.,Para mostrar todas las actividades que realizan los clientes del negocio.,Para obtener una vista global de todas las actividades realizadas en los canales.,Para hacer el análisis financiero del modelo de negocio.,,"[""Para mostrar el orden en que suceden las actividades de una estructura del negocio."", ""Para mostrar cómo funciona un aspecto importante de un negocio.""]",
104,El Modelo de Negocio,True/False,¿Es posible que exista un canal interno indirecto?,True,False,,,,,"[""False""]",
105,El Modelo de Negocio,Multiple Choice,¿Qué describe la estructura de negocio?,"Los componentes internos y externos que participan en la creación y entrega de valor, los canales y los elementos que fluyen por dichos canales.",El mapa de conceptos del negocio.,Los servicios que ofrece el negocio y los clientes que los utilizan.,La estrategia de entrega de valor que tiene un negocio.,La estructura organizacional del negocio.,,"[""Los componentes internos y externos que participan en la creación y entrega de valor, los canales y los elementos que fluyen por dichos canales.""]",
106,El Modelo de Negocio,Multiple Choice,"¿Cuál de los siguientes metamodelos representa mejor la relación que existe entre empresa, negocio y servicio de negocio?",,,,,,,"[""""]",
